country,dc_id,sku,year,week,week_start,demand_raw,source_file,source_sheet,product_name
Germany,700,00004-807-019,2024,16,2024-04-15,6029.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,17,2024-04-22,8296.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,18,2024-04-29,7355.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,19,2024-05-06,7607.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,20,2024-05-13,6926.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,21,2024-05-20,7405.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,22,2024-05-27,5196.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,23,2024-06-03,6873.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,24,2024-06-10,6829.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,25,2024-06-17,7253.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,26,2024-06-24,6748.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,27,2024-07-01,5562.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,28,2024-07-08,2052.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,33,2024-08-12,5761.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,34,2024-08-19,8255.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,35,2024-08-26,7803.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,36,2024-09-02,7278.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,37,2024-09-09,7137.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,38,2024-09-16,7510.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,39,2024-09-23,8725.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,40,2024-09-30,6151.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,41,2024-10-07,7665.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,42,2024-10-14,7207.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,43,2024-10-21,6989.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,44,2024-10-28,7531.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,45,2024-11-04,7815.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,46,2024-11-11,5662.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,47,2024-11-18,7365.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,48,2024-11-25,7474.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,49,2024-12-02,7002.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,50,2024-12-09,6453.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,51,2024-12-16,8161.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2024,52,2024-12-23,8401.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,1,2024-12-30,7587.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,2,2025-01-06,5276.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,3,2025-01-13,5464.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,4,2025-01-20,6477.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,5,2025-01-27,6887.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,6,2025-02-03,7228.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,7,2025-02-10,6708.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,8,2025-02-17,6490.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,9,2025-02-24,9643.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,10,2025-03-03,7841.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,11,2025-03-10,447.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,20,2025-05-12,3516.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,21,2025-05-19,5913.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,22,2025-05-26,7809.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,23,2025-06-02,8476.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,24,2025-06-09,6170.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,25,2025-06-16,6778.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,26,2025-06-23,6950.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,27,2025-06-30,4990.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,28,2025-07-07,6440.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,29,2025-07-14,8821.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,30,2025-07-21,8872.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,31,2025-07-28,8884.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,32,2025-08-04,8153.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,33,2025-08-11,8291.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,34,2025-08-18,7127.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,35,2025-08-25,7407.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,36,2025-09-01,7180.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,37,2025-09-08,5883.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,38,2025-09-15,6368.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,39,2025-09-22,6669.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,40,2025-09-29,8958.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,41,2025-10-06,7330.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,42,2025-10-13,7666.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,43,2025-10-20,6070.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,44,2025-10-27,7392.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,700,00004-807-019,2025,45,2025-11-03,4944.0,Germany 4-807-019.xlsx,Export,Pommes Frites I
Germany,100,00019-003-003,2021,52,2021-12-27,4.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,1,2022-01-03,1922.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,2,2022-01-10,1769.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,3,2022-01-17,1586.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,4,2022-01-24,1473.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,5,2022-01-31,1466.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,6,2022-02-07,1598.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,7,2022-02-14,1457.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,8,2022-02-21,1477.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,9,2022-02-28,1319.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,10,2022-03-07,122.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,11,2022-03-14,622.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,12,2022-03-21,3732.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,13,2022-03-28,1557.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,14,2022-04-04,1656.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,15,2022-04-11,1514.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,16,2022-04-18,1368.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,17,2022-04-25,1373.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,18,2022-05-02,1313.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,19,2022-05-09,1603.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,20,2022-05-16,1672.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,21,2022-05-23,1760.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,22,2022-05-30,2121.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,23,2022-06-06,1985.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,24,2022-06-13,1889.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
Germany,100,00019-003-003,2022,25,2022-06-20,1552.0,Germany 19-003-003.xlsx,Export,Coca Cola 20 L BIB
